titleType,averageRating,numVotes,movie,tvMiniSeries,tvMovie,tvSeries
tvSeries,6.6,577.0,0.0,0.0,0.0,1.0
movie,6.9,5946.0,1.0,0.0,0.0,0.0
movie,6.8,17455.0,1.0,0.0,0.0,0.0
movie,6.9,487.0,1.0,0.0,0.0,0.0
tvSeries,8.4,35526.0,0.0,0.0,0.0,1.0
movie,6.6,3732.0,1.0,0.0,0.0,0.0
movie,7.3,676.0,1.0,0.0,0.0,0.0
movie,6.9,2689.0,1.0,0.0,0.0,0.0
movie,7.0,51.0,1.0,0.0,0.0,0.0
movie,6.7,378.0,1.0,0.0,0.0,0.0
movie,8.9,25.0,1.0,0.0,0.0,0.0
movie,7.5,34530.0,1.0,0.0,0.0,0.0
movie,6.5,8867.0,1.0,0.0,0.0,0.0
movie,6.8,252.0,1.0,0.0,0.0,0.0
movie,8.9,44.0,1.0,0.0,0.0,0.0
movie,6.6,109.0,1.0,0.0,0.0,0.0
movie,7.1,21902.0,1.0,0.0,0.0,0.0
movie,7.1,116.0,1.0,0.0,0.0,0.0
movie,6.6,32935.0,1.0,0.0,0.0,0.0
movie,6.6,755.0,1.0,0.0,0.0,0.0
movie,8.1,60.0,1.0,0.0,0.0,0.0
tvSeries,6.7,17.0,0.0,0.0,0.0,1.0
tvSeries,6.6,88.0,0.0,0.0,0.0,1.0
movie,6.9,6410.0,1.0,0.0,0.0,0.0
movie,6.5,452.0,1.0,0.0,0.0,0.0
movie,9.0,1038.0,1.0,0.0,0.0,0.0
movie,7.6,32.0,1.0,0.0,0.0,0.0
movie,6.6,513.0,1.0,0.0,0.0,0.0
movie,6.6,1784.0,1.0,0.0,0.0,0.0
movie,6.9,278.0,1.0,0.0,0.0,0.0
tvSeries,6.9,12649.0,0.0,0.0,0.0,1.0
movie,6.5,445.0,1.0,0.0,0.0,0.0
movie,7.5,514.0,1.0,0.0,0.0,0.0
movie,7.3,129.0,1.0,0.0,0.0,0.0
tvSeries,8.0,23575.0,0.0,0.0,0.0,1.0
movie,7.6,73502.0,1.0,0.0,0.0,0.0
tvSeries,7.8,34929.0,0.0,0.0,0.0,1.0
movie,6.8,75.0,1.0,0.0,0.0,0.0
tvMiniSeries,7.6,7802.0,0.0,1.0,0.0,0.0
movie,6.8,6378.0,1.0,0.0,0.0,0.0
movie,7.2,81198.0,1.0,0.0,0.0,0.0
movie,7.2,6035.0,1.0,0.0,0.0,0.0
movie,6.7,4884.0,1.0,0.0,0.0,0.0
movie,7.5,4919.0,1.0,0.0,0.0,0.0
movie,8.3,10.0,1.0,0.0,0.0,0.0
movie,6.8,2157.0,1.0,0.0,0.0,0.0
movie,7.5,11862.0,1.0,0.0,0.0,0.0
movie,7.4,53.0,1.0,0.0,0.0,0.0
movie,6.9,1772.0,1.0,0.0,0.0,0.0
movie,6.8,2138.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.3,1264.0,0.0,1.0,0.0,0.0
movie,6.6,3864.0,1.0,0.0,0.0,0.0
movie,6.7,1607.0,1.0,0.0,0.0,0.0
movie,7.7,20.0,1.0,0.0,0.0,0.0
movie,8.3,16278.0,1.0,0.0,0.0,0.0
tvSeries,7.8,6199.0,0.0,0.0,0.0,1.0
movie,7.4,10767.0,1.0,0.0,0.0,0.0
movie,6.6,300.0,1.0,0.0,0.0,0.0
movie,7.0,10057.0,1.0,0.0,0.0,0.0
tvSeries,8.1,2428.0,0.0,0.0,0.0,1.0
movie,7.2,10207.0,1.0,0.0,0.0,0.0
movie,6.6,8325.0,1.0,0.0,0.0,0.0
movie,7.1,3464.0,1.0,0.0,0.0,0.0
movie,7.1,1777.0,1.0,0.0,0.0,0.0
movie,6.6,10764.0,1.0,0.0,0.0,0.0
tvMiniSeries,7.9,1368.0,0.0,1.0,0.0,0.0
movie,7.6,7362.0,1.0,0.0,0.0,0.0
movie,8.0,125.0,1.0,0.0,0.0,0.0
movie,7.2,14345.0,1.0,0.0,0.0,0.0
movie,6.6,6074.0,1.0,0.0,0.0,0.0
movie,8.5,20070.0,1.0,0.0,0.0,0.0
movie,7.1,2483.0,1.0,0.0,0.0,0.0
tvSeries,8.6,126053.0,0.0,0.0,0.0,1.0
movie,8.2,3103.0,1.0,0.0,0.0,0.0
movie,8.2,21372.0,1.0,0.0,0.0,0.0
movie,8.0,4188.0,1.0,0.0,0.0,0.0
movie,8.1,34050.0,1.0,0.0,0.0,0.0
movie,8.5,12793.0,1.0,0.0,0.0,0.0
tvSeries,9.0,109376.0,0.0,0.0,0.0,1.0
tvSeries,8.5,8955.0,0.0,0.0,0.0,1.0
movie,8.2,23797.0,1.0,0.0,0.0,0.0
movie,8.1,13319.0,1.0,0.0,0.0,0.0
movie,8.7,7617.0,1.0,0.0,0.0,0.0
tvSeries,8.3,8922.0,0.0,0.0,0.0,1.0
tvSeries,7.9,24875.0,0.0,0.0,0.0,1.0
tvSeries,8.3,4687.0,0.0,0.0,0.0,1.0
tvSeries,8.4,33117.0,0.0,0.0,0.0,1.0
tvSeries,8.1,44762.0,0.0,0.0,0.0,1.0
tvSeries,8.5,7380.0,0.0,0.0,0.0,1.0
tvSeries,8.2,88603.0,0.0,0.0,0.0,1.0
tvSeries,8.7,13422.0,0.0,0.0,0.0,1.0
tvSeries,7.9,21128.0,0.0,0.0,0.0,1.0
tvSeries,8.1,66948.0,0.0,0.0,0.0,1.0
movie,7.9,32811.0,1.0,0.0,0.0,0.0
movie,7.9,106446.0,1.0,0.0,0.0,0.0
tvSeries,7.9,64392.0,0.0,0.0,0.0,1.0
tvSeries,8.1,17491.0,0.0,0.0,0.0,1.0
tvSeries,8.4,21353.0,0.0,0.0,0.0,1.0
tvSeries,7.9,7489.0,0.0,0.0,0.0,1.0
movie,8.0,54296.0,1.0,0.0,0.0,0.0
movie,8.0,20976.0,1.0,0.0,0.0,0.0
movie,8.3,27245.0,1.0,0.0,0.0,0.0
movie,7.9,35654.0,1.0,0.0,0.0,0.0
movie,7.9,15418.0,1.0,0.0,0.0,0.0
movie,8.1,106646.0,1.0,0.0,0.0,0.0
tvSeries,8.1,4703.0,0.0,0.0,0.0,1.0
tvSeries,8.7,42097.0,0.0,0.0,0.0,1.0
tvSeries,8.3,8080.0,0.0,0.0,0.0,1.0
tvSeries,8.0,16599.0,0.0,0.0,0.0,1.0
tvSeries,8.5,76572.0,0.0,0.0,0.0,1.0
movie,8.0,73234.0,1.0,0.0,0.0,0.0
movie,8.1,59744.0,1.0,0.0,0.0,0.0
tvSeries,8.3,47688.0,0.0,0.0,0.0,1.0
tvSeries,7.9,51362.0,0.0,0.0,0.0,1.0
tvSeries,8.0,11709.0,0.0,0.0,0.0,1.0
tvSeries,7.9,11146.0,0.0,0.0,0.0,1.0
tvSeries,8.1,16718.0,0.0,0.0,0.0,1.0
movie,8.1,70992.0,1.0,0.0,0.0,0.0
movie,8.1,13217.0,1.0,0.0,0.0,0.0
movie,8.0,96343.0,1.0,0.0,0.0,0.0
tvSeries,8.1,26264.0,0.0,0.0,0.0,1.0
tvSeries,8.1,8474.0,0.0,0.0,0.0,1.0
tvSeries,7.9,36218.0,0.0,0.0,0.0,1.0
tvSeries,8.7,102778.0,0.0,0.0,0.0,1.0
tvSeries,8.1,9440.0,0.0,0.0,0.0,1.0
tvSeries,8.4,97399.0,0.0,0.0,0.0,1.0
movie,7.9,16895.0,1.0,0.0,0.0,0.0
movie,8.2,77132.0,1.0,0.0,0.0,0.0
movie,7.3,92664.0,1.0,0.0,0.0,0.0
tvSeries,7.9,26872.0,0.0,0.0,0.0,1.0
tvSeries,8.4,4602.0,0.0,0.0,0.0,1.0
movie,7.2,125824.0,1.0,0.0,0.0,0.0
movie,8.5,3354.0,1.0,0.0,0.0,0.0
movie,8.3,10900.0,1.0,0.0,0.0,0.0
movie,6.6,84288.0,1.0,0.0,0.0,0.0
tvSeries,8.1,29095.0,0.0,0.0,0.0,1.0
movie,8.4,3193.0,1.0,0.0,0.0,0.0
movie,7.4,3639.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.0,6418.0,0.0,1.0,0.0,0.0
movie,7.5,13676.0,1.0,0.0,0.0,0.0
tvSeries,7.9,73124.0,0.0,0.0,0.0,1.0
movie,7.3,123785.0,1.0,0.0,0.0,0.0
tvSeries,8.3,8358.0,0.0,0.0,0.0,1.0
movie,6.7,57140.0,1.0,0.0,0.0,0.0
movie,7.2,80927.0,1.0,0.0,0.0,0.0
tvSeries,8.4,3144.0,0.0,0.0,0.0,1.0
movie,8.1,59085.0,1.0,0.0,0.0,0.0
tvSeries,8.0,3858.0,0.0,0.0,0.0,1.0
tvSeries,8.3,18662.0,0.0,0.0,0.0,1.0
movie,7.3,87920.0,1.0,0.0,0.0,0.0
tvSeries,8.5,19899.0,0.0,0.0,0.0,1.0
movie,6.5,57523.0,1.0,0.0,0.0,0.0
tvSeries,8.4,11771.0,0.0,0.0,0.0,1.0
movie,6.6,131644.0,1.0,0.0,0.0,0.0
tvSeries,8.3,38709.0,0.0,0.0,0.0,1.0
tvSeries,8.5,56090.0,0.0,0.0,0.0,1.0
movie,6.9,43116.0,1.0,0.0,0.0,0.0
tvSeries,8.1,6366.0,0.0,0.0,0.0,1.0
movie,8.3,15829.0,1.0,0.0,0.0,0.0
movie,6.9,18941.0,1.0,0.0,0.0,0.0
movie,6.5,3535.0,1.0,0.0,0.0,0.0
movie,8.1,26288.0,1.0,0.0,0.0,0.0
tvSeries,8.9,80903.0,0.0,0.0,0.0,1.0
movie,7.2,121249.0,1.0,0.0,0.0,0.0
movie,7.3,63970.0,1.0,0.0,0.0,0.0
movie,7.5,30707.0,1.0,0.0,0.0,0.0
tvSeries,8.1,115339.0,0.0,0.0,0.0,1.0
tvSeries,7.3,33736.0,0.0,0.0,0.0,1.0
movie,6.6,72702.0,1.0,0.0,0.0,0.0
tvSeries,7.6,15013.0,0.0,0.0,0.0,1.0
tvMiniSeries,7.3,6723.0,0.0,1.0,0.0,0.0
movie,6.7,14305.0,1.0,0.0,0.0,0.0
movie,6.7,22238.0,1.0,0.0,0.0,0.0
movie,6.7,6733.0,1.0,0.0,0.0,0.0
movie,6.5,77598.0,1.0,0.0,0.0,0.0
movie,7.4,59706.0,1.0,0.0,0.0,0.0
tvSeries,6.6,14344.0,0.0,0.0,0.0,1.0
movie,7.4,107289.0,1.0,0.0,0.0,0.0
movie,7.0,31503.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.5,6582.0,0.0,1.0,0.0,0.0
movie,8.8,11452.0,1.0,0.0,0.0,0.0
movie,6.6,11997.0,1.0,0.0,0.0,0.0
movie,7.6,33616.0,1.0,0.0,0.0,0.0
movie,7.1,11725.0,1.0,0.0,0.0,0.0
movie,6.8,114390.0,1.0,0.0,0.0,0.0
tvSeries,7.4,3321.0,0.0,0.0,0.0,1.0
movie,6.8,6870.0,1.0,0.0,0.0,0.0
movie,8.4,8080.0,1.0,0.0,0.0,0.0
tvSeries,8.3,48102.0,0.0,0.0,0.0,1.0
movie,7.9,13465.0,1.0,0.0,0.0,0.0
movie,7.2,121574.0,1.0,0.0,0.0,0.0
movie,6.8,131112.0,1.0,0.0,0.0,0.0
movie,6.9,63844.0,1.0,0.0,0.0,0.0
movie,6.9,127058.0,1.0,0.0,0.0,0.0
movie,6.7,92683.0,1.0,0.0,0.0,0.0
tvSeries,6.5,5210.0,0.0,0.0,0.0,1.0
tvSeries,6.9,6906.0,0.0,0.0,0.0,1.0
tvSeries,7.2,43556.0,0.0,0.0,0.0,1.0
tvSeries,8.6,46610.0,0.0,0.0,0.0,1.0
movie,7.0,68931.0,1.0,0.0,0.0,0.0
movie,6.8,63370.0,1.0,0.0,0.0,0.0
tvSeries,7.7,3511.0,0.0,0.0,0.0,1.0
movie,7.5,44313.0,1.0,0.0,0.0,0.0
tvSeries,7.5,26206.0,0.0,0.0,0.0,1.0
